device: mps
train: 1457  val: 181  test (held-out): 181
tokenizer params: 17.4K
epoch  60/80  loss 0.0013  train_recon 0.0011  val_recon 0.0010  codebook 100%  lr 5.82e-05
epoch  61/80  loss 0.0013  train_recon 0.0011  val_recon 0.0010  codebook 100%  lr 5.37e-05
epoch  62/80  loss 0.0013  train_recon 0.0011  val_recon 0.0010  codebook 100%  lr 4.95e-05
epoch  63/80  loss 0.0013  train_recon 0.0011  val_recon 0.0010  codebook 100%  lr 4.54e-05
epoch  64/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 4.15e-05
epoch  65/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 3.78e-05
epoch  66/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 3.44e-05
epoch  67/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 3.11e-05
epoch  68/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 2.81e-05
epoch  69/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 2.52e-05
epoch  70/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 2.26e-05
epoch  71/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 2.03e-05
epoch  72/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.82e-05
epoch  73/80  loss 0.0013  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.63e-05
epoch  74/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.46e-05
epoch  75/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.32e-05
epoch  76/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.21e-05
epoch  77/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.12e-05
epoch  78/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.05e-05
epoch  79/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.01e-05
epoch  80/80  loss 0.0012  train_recon 0.0010  val_recon 0.0010  codebook 100%  lr 1.00e-05
